train_classification_loss,val_classification_loss,learning_rate
0.25818873382380036,0.16695499320245694,0.009999999776482582
0.17334391731628726,0.16612345990304,0.009999999776482582
0.16976968016253177,0.17924614367957714,0.009999999776482582
0.16866712593479533,0.1748103365171755,0.009999999776482582
0.16779011418624998,0.16053893818973453,0.009999999776482582
0.16703911730596838,0.15877840520254724,0.009999999776482582
0.16672083551375783,0.16449467992035363,0.009999999776482582
0.16575357875026928,0.16185160131131246,0.009999999776482582
0.1656518134755963,0.15975137593621067,0.009999999776482582
0.16552820530431356,0.16999307448592896,0.009999999776482582
0.16665656182156385,0.1698159125169234,0.009999999776482582
0.159893010258578,0.15579066399495733,0.004999999888241291
0.1562149251138383,0.153868552156162,0.0024999999441206455
0.1542789500735787,0.15288308566930342,0.0012499999720603228
0.153353409753477,0.15215437776753923,0.0006249999860301614
0.15278669596733055,0.15103460820093098,0.0003124999930150807
0.15250684747329868,0.15056707777365302,0.00015624999650754035
0.15238539216467378,0.15047598912573418,7.812499825377017e-05
0.1523028885348955,0.15046808312568302,3.9062499126885086e-05
0.15225730182049765,0.15049091544078322,1.9531249563442543e-05
0.1522427257126253,0.1504378305101881,9.765624781721272e-06
0.1522304528415802,0.15043562980852043,4.882812390860636e-06
0.152224910103664,0.15043384275526764,2.441406195430318e-06
0.15222193518274219,0.1504335387585462,1.220703097715159e-06
0.15221991520568284,0.15043346785856057,6.103515488575795e-07
0.15221900312802555,0.15043346914014732,3.0517577442878974e-07
0.15221854670265575,0.15043345751897935,1.5258788721439487e-07
0.15221832646358996,0.1504334394898776,7.629394360719743e-08
0.15221821801343163,0.15043345048111312,3.814697180359872e-08
0.15221816713012146,0.15043345061144398,1.907348590179936e-08
